UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
451370,"R",8,"R",19,"R",42,"R",3,"R",0,"R",3,"R",3,"R",100,"A",,"A",,"A",,"A",,"A",,"R",15
451398,"R",54,"R",72,"R",75,"R",60,"R",0,"R",60,"R",50,"R",83,"A",,"A",,"A",,"A",,"A",,"R",18
451404,"R",68,"R",146,"R",47,"R",32,"R",0,"R",32,"R",21,"R",66,"A",,"A",,"A",,"A",,"A",,"R",11
451413,"A",,"A",,"A",,"R",68,"R",0,"R",68,"R",52,"R",76,"A",,"A",,"A",,"A",,"A",,"R",6
451422,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",18
451440,"A",,"A",,"A",,"R",103,"R",0,"R",103,"R",78,"R",76,"A",,"A",,"A",,"A",,"A",,"R",14
451459,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
451468,"A",,"A",,"A",,"R",32,"R",0,"R",32,"R",28,"R",88,"A",,"A",,"A",,"A",,"A",,"R",12
451477,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",30
451495,"A",,"A",,"A",,"R",12,"Z",0,"R",12,"R",12,"R",100,"R",0,"Z",0,"R",0,"Z",0,"A",,"R",21
451501,"A",,"A",,"A",,"R",22,"R",2,"R",20,"R",12,"R",60,"A",,"A",,"A",,"A",,"A",,"R",18
451529,"A",,"A",,"A",,"R",35,"R",0,"R",35,"R",19,"R",54,"R",33,"R",0,"R",33,"R",13,"R",39,"R",12
451538,"A",,"A",,"A",,"R",102,"R",0,"R",102,"R",37,"R",36,"A",,"A",,"A",,"A",,"A",,"R",16
451547,"A",,"A",,"A",,"R",23,"R",0,"R",23,"R",20,"R",87,"A",,"A",,"A",,"A",,"A",,"R",25
451556,"R",434,"R",1024,"R",42,"R",7,"R",0,"R",7,"R",6,"R",86,"A",,"A",,"A",,"A",,"A",,"R",21
451565,"A",,"A",,"A",,"R",29,"R",0,"R",29,"R",25,"R",86,"R",3,"R",0,"R",3,"R",3,"R",100,"R",12
451574,"A",,"A",,"A",,"R",27,"R",0,"R",27,"R",20,"R",74,"A",,"A",,"A",,"A",,"A",,"R",13
451583,"A",,"A",,"A",,"R",22,"R",0,"R",22,"R",16,"R",73,"R",36,"R",0,"R",36,"R",26,"R",72,"R",9
